tipo,precio,m2,precio_m2,zona,features
Departamento,900000,75,12000,Villa Ballester,75 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,900000,170,5294,José León Suárez,170 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,600000,67,8955,Villa Ballester,67 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,380000,30,12667,José León Suárez,30 m² tot. 1 amb. 1 baño
Departamento,500000,40,12500,José León Suárez,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,680000,60,11333,San Martín Centro,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,480000,40,12000,San Martín Centro,40 m² tot. 1 amb. 1 dorm. 1 baño
Departamento,870000,60,14500,Villa Ballester,60 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,700000,54,12963,José León Suárez,54 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,630000,44,14318,General San Martín,44 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,600000,50,12000,Villa Ballester,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,700000,51,13725,Villa Ballester,51 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,650000,46,14130,General San Martín,46 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,510000,48,10625,José León Suárez,48 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,650000,50,13000,Villa Ballester,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,1400000,180,7778,San Martín Centro,180 m² tot. 5 amb. 3 dorm. 2 baños
Departamento,1100000,113,9735,General San Martín,113 m² tot. 2 amb. 1 dorm. 2 baños 1 coch.
Departamento,550000,50,11000,San Martín Centro,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,500000,38,13158,Villa Ballester,38 m² tot. 1 amb. 1 baño
Departamento,650000,51,12745,Villa Ballester,51 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,630000,58,10862,San Martín Centro,58 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,690000,70,9857,Barrio Parque General San Martin,70 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,550000,48,11458,San Martín Centro,48 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,350000,32,10938,José León Suárez,32 m² tot. 1 amb. 1 dorm. 1 baño
Departamento,480000,36,13333,José León Suárez,36 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,45,12222,San Martín Centro,45 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,1300000,220,5909,General San Martín,220 m² tot. 4 amb. 3 dorm. 1 baño
Departamento,450000,35,12857,Villa Ballester,35 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,400000,40,10000,José León Suárez,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,500000,35,14286,General San Martín,35 m² tot. 1 amb. 1 baño 1 coch.
Departamento,900000,66,13636,Villa Ballester,66 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,700000,52,13462,Villa Lynch,52 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,1250000,232,5388,Villa Maipu,232 m² tot. 4 amb. 3 dorm. 2 baños
Departamento,495000,45,11000,Villa Maipu,45 m² tot. 1 amb. 1 baño
Departamento,800000,65,12308,General San Martín,65 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,570000,40,14250,Villa Ballester,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,950000,73,13014,Villa Ballester,73 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,1050000,75,14000,General San Martín,75 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,630000,42,15000,San Andrés,42 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,850000,65,13077,José León Suárez,65 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,620000,44,14091,Villa Ballester,44 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,650000,50,13000,Villa Ballester,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,600000,47,12766,San Martín Centro,47 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,500000,40,12500,Villa Ballester,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,680000,51,13333,Villa Ballester,51 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,400000,45,8889,Villa Bonich,45 m² tot. 1 amb. 1 baño
Departamento,700000,65,10769,San Martín Centro,65 m² tot. 1 amb.
Departamento,460000,35,13143,José León Suárez,35 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,600000,55,10909,Barrio Parque General San Martin,55 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,700000,48,14583,Villa Ballester,48 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,400000,27,14815,Villa Ballester,27 m² tot. 1 amb. 1 baño
Departamento,500000,40,12500,Villa Ballester,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,530000,36,14722,Villa Ballester,36 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,600000,45,13333,Villa Ballester,45 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,1200000,196,6122,Villa Ballester,196 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,300000,25,12000,San Andrés,25 m² tot. 1 amb. 1 baño
Departamento,570000,58,9828,Villa Ballester,58 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,470000,40,11750,José León Suárez,40 m² tot. 1 baño
Departamento,690000,56,12321,San Martín Centro,56 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,2500000,262,9542,Villa Ballester,262 m² tot. 5 amb. 2 baños
Departamento,600000,46,13043,General San Martín,46 m² tot. 1 amb. 1 baño
Departamento,500000,55,9091,Villa Ballester,55 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,900000,66,13636,Villa Ballester,66 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,785000,68,11544,San Martín Centro,68 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,900000,88,10227,Villa Monteagudo,88 m² tot. 3 amb. 2 dorm. 1 baño
